"INDEX","CROSS","SITE","EFF","SE","TRAIT"
339,"add","CLMB",-2.79007067944814,0.668536460437335,"Al27"
339,"add","KBSM",-0.599945911073618,0.535678850126684,"Al27"
339,"add","PKLE",0.300520312297276,0.848657181873628,"Al27"
339,"add2","CLMB",-0.912068176724049,0.666806102840144,"Al27"
339,"add2","KBSM",-1.8485093958466,0.534540473250682,"Al27"
339,"add2","PKLE",0.0672408586872125,0.845141670921865,"Al27"
339,"dom","CLMB",NA,NA,"Al27"
339,"dom","KBSM",NA,NA,"Al27"
339,"dom","PKLE",NA,NA,"Al27"
544,"add","CLMB",4.45579189719199,0.673306410566529,"Al27"
544,"add","KBSM",1.56207144666899,0.538283474154481,"Al27"
544,"add","PKLE",0.0689001496229285,0.855298092422358,"Al27"
544,"add2","CLMB",2.05168290855842,0.678298663757795,"Al27"
544,"add2","KBSM",1.10948639818567,0.542613627649416,"Al27"
544,"add2","PKLE",-0.481368839278109,0.862805210583754,"Al27"
544,"dom","CLMB",NA,NA,"Al27"
544,"dom","KBSM",NA,NA,"Al27"
544,"dom","PKLE",NA,NA,"Al27"
141,"add","CLMB",18.9813463217747,12.0135812363592,"Ca44"
141,"add","KBSM",8.03958180296952,18.0058851056433,"Ca44"
141,"add","PKLE",30.625330446447,33.5695515185898,"Ca44"
141,"add2","CLMB",39.7433033221444,12.0133470359338,"Ca44"
141,"add2","KBSM",4.03811150147378,17.9963296380987,"Ca44"
141,"add2","PKLE",143.141523485912,33.5681338126663,"Ca44"
546,"add","CLMB",8.62800156399276,11.1254424127879,"Ca44"
546,"add","KBSM",8.62800156399276,11.1254424127879,"Ca44"
546,"add","PKLE",8.62800156399276,11.1254424127879,"Ca44"
546,"add2","CLMB",80.9371679200406,11.1279427805553,"Ca44"
546,"add2","KBSM",80.9371679200406,11.1279427805553,"Ca44"
546,"add2","PKLE",80.9371679200406,11.1279427805553,"Ca44"
634,"add","CLMB",27.3569883865662,12.0577640308056,"Ca44"
634,"add","KBSM",20.5180635489329,18.1173624368761,"Ca44"
634,"add","PKLE",19.2224782423173,33.8367684904522,"Ca44"
634,"add2","CLMB",-9.65216495632333,12.1702842368655,"Ca44"
634,"add2","KBSM",-84.1644691610981,18.1609407343277,"Ca44"
634,"add2","PKLE",-68.7068014176574,33.6945864522273,"Ca44"
97,"add","CLMB",0.000224972834163192,0.00057959322298946,"Cd111"
97,"add","KBSM",3.87515933311171e-05,0.000570080350003898,"Cd111"
97,"add","PKLE",-0.00025377488662958,9.03236269699203e-05,"Cd111"
97,"add2","CLMB",-0.0041600672297326,0.000582837117888309,"Cd111"
97,"add2","KBSM",-0.00846840011925237,0.000574516192354148,"Cd111"
97,"add2","PKLE",-0.000623454002220596,9.10155690482829e-05,"Cd111"
172,"add","CLMB",-0.000368830067168605,0.000595042390494143,"Cd111"
172,"add","KBSM",-0.00113162075140037,0.000585065725949881,"Cd111"
172,"add","PKLE",-0.000166145615522314,9.29034258133824e-05,"Cd111"
172,"add2","CLMB",-0.00245914116963995,0.000596490815621252,"Cd111"
172,"add2","KBSM",-0.00201595405041201,0.000586899394032602,"Cd111"
172,"add2","PKLE",-0.000243506292945468,9.32398260326608e-05,"Cd111"
536,"add","CLMB",0.660989272644938,0.100039653307356,"Cu63"
536,"add","KBSM",0.146948387513444,0.0329604827964561,"Cu63"
536,"add","PKLE",0.438051530474945,0.0604721307337485,"Cu63"
536,"add2","CLMB",-0.19518944125724,0.0998674998042764,"Cu63"
536,"add2","KBSM",-0.0524894255084346,0.0330747864930062,"Cu63"
536,"add2","PKLE",-0.317084813326018,0.0605058829133951,"Cu63"
536,"dom","CLMB",NA,NA,"Cu63"
536,"dom","KBSM",NA,NA,"Cu63"
536,"dom","PKLE",NA,NA,"Cu63"
156,"add","CLMB",2.81548932268408,1.01768569696082,"K39"
156,"add","KBSM",-2.86043778252577,0.884343654910157,"K39"
156,"add","PKLE",2.93996614688524,0.87521372076399,"K39"
156,"add2","CLMB",-1.16843015472354,1.01633686566023,"K39"
156,"add2","KBSM",-0.963695314035505,0.882842073165285,"K39"
156,"add2","PKLE",0.380788981427317,0.873427188563849,"K39"
156,"dom","CLMB",NA,NA,"K39"
156,"dom","KBSM",NA,NA,"K39"
156,"dom","PKLE",NA,NA,"K39"
676,"add","CLMB",0.431043779357889,1.05511927824675,"K39"
676,"add","KBSM",0.879171136372539,0.911027010939255,"K39"
676,"add","PKLE",-2.17532894172522,0.901185498315228,"K39"
676,"add2","CLMB",0.287577566551473,1.05047768360137,"K39"
