"SITE","LINE","traits","Co59","SITE2"
"CLMB","1","Co59","0.066087845","CLMB"
"CLMB","2","Co59","0.097717129","CLMB"
"CLMB","3","Co59","0.07874153","CLMB"
"CLMB","4","Co59","0.23190408","CLMB"
"CLMB","5","Co59","*","CLMB"
"CLMB","7","Co59","0.137017417","CLMB"
"CLMB","8","Co59","*","CLMB"
"CLMB","9","Co59","*","CLMB"
"CLMB","10","Co59","*","CLMB"
"CLMB","11","Co59","0.152632119","CLMB"
"CLMB","12","Co59","0.178275733","CLMB"
"CLMB","13","Co59","0.25611044","CLMB"
"CLMB","14","Co59","*","CLMB"
"CLMB","15","Co59","0.092011179","CLMB"
"CLMB","16","Co59","*","CLMB"
"CLMB","17","Co59","*","CLMB"
"CLMB","18","Co59","*","CLMB"
"CLMB","19","Co59","0.120575629","CLMB"
"CLMB","20","Co59","0.115148024","CLMB"
"CLMB","21","Co59","0.051142473","CLMB"
"CLMB","22","Co59","*","CLMB"
"CLMB","23","Co59","*","CLMB"
"CLMB","24","Co59","0.098606161","CLMB"
"CLMB","25","Co59","0.118797532","CLMB"
"CLMB","26","Co59","0.079629173","CLMB"
"CLMB","27","Co59","0.050044822","CLMB"
"CLMB","28","Co59","0.14177768","CLMB"
"CLMB","29","Co59","*","CLMB"
"CLMB","30","Co59","*","CLMB"
"CLMB","31","Co59","*","CLMB"
"CLMB","32","Co59","0.051282883","CLMB"
"CLMB","33","Co59","*","CLMB"
"CLMB","34","Co59","0.179237928","CLMB"
"CLMB","35","Co59","0.120497232","CLMB"
"CLMB","36","Co59","*","CLMB"
"CLMB","37","Co59","0.09247409","CLMB"
"CLMB","38","Co59","0.057876071","CLMB"
"CLMB","39","Co59","0.235638191","CLMB"
"CLMB","40","Co59","0.133731187","CLMB"
"CLMB","41","Co59","0.054738123","CLMB"
"CLMB","42","Co59","*","CLMB"
"CLMB","43","Co59","*","CLMB"
"CLMB","44","Co59","0.159153399","CLMB"
"CLMB","46","Co59","0.137980871","CLMB"
"CLMB","48","Co59","0.194953348","CLMB"
"CLMB","49","Co59","0.102035594","CLMB"
"CLMB","50","Co59","0.203099792","CLMB"
"CLMB","52","Co59","0.082562017","CLMB"
"CLMB","53","Co59","0.226951204","CLMB"
"CLMB","54","Co59","0.045786302","CLMB"
"CLMB","55","Co59","0.101801839","CLMB"
"CLMB","56","Co59","*","CLMB"
"CLMB","57","Co59","*","CLMB"
"CLMB","58","Co59","*","CLMB"
"CLMB","59","Co59","0.036300624","CLMB"
"CLMB","60","Co59","0.197342315","CLMB"
"CLMB","61","Co59","0.102840303","CLMB"
"CLMB","62","Co59","0.104334431","CLMB"
"CLMB","63","Co59","*","CLMB"
"CLMB","64","Co59","*","CLMB"
"CLMB","65","Co59","0.132975594","CLMB"
"CLMB","66","Co59","0.027306028","CLMB"
"CLMB","67","Co59","0.079853847","CLMB"
"CLMB","68","Co59","0.094814422","CLMB"
"CLMB","69","Co59","0.051031052","CLMB"
"CLMB","70","Co59","*","CLMB"
"CLMB","72","Co59","0.130496498","CLMB"
"CLMB","73","Co59","0.133512904","CLMB"
"CLMB","74","Co59","0.050956677","CLMB"
"CLMB","75","Co59","0.117600661","CLMB"
"CLMB","76","Co59","0.071163921","CLMB"
"CLMB","77","Co59","*","CLMB"
"CLMB","78","Co59","0.012486093","CLMB"
"CLMB","79","Co59","*","CLMB"
"CLMB","80","Co59","*","CLMB"
"CLMB","81","Co59","*","CLMB"
"CLMB","83","Co59","0.163973173","CLMB"
"CLMB","84","Co59","*","CLMB"
"CLMB","85","Co59","0.146803705","CLMB"
"CLMB","86","Co59","0.232853204","CLMB"
"CLMB","87","Co59","0.192530419","CLMB"
"CLMB","88","Co59","0.085946047","CLMB"
"CLMB","89","Co59","0.048493018","CLMB"
"CLMB","90","Co59","0.210098862","CLMB"
"CLMB","91","Co59","0.094525235","CLMB"
"CLMB","93","Co59","0.153570096","CLMB"
"CLMB","94","Co59","0.080783757","CLMB"
"CLMB","95","Co59","*","CLMB"
"CLMB","96","Co59","*","CLMB"
"CLMB","97","Co59","0.128663025","CLMB"
"CLMB","99","Co59","0.10293667","CLMB"
"CLMB","100","Co59","0.087591683","CLMB"
"CLMB","101","Co59","*","CLMB"
"CLMB","103","Co59","*","CLMB"
"CLMB","104","Co59","0.170000352","CLMB"
"CLMB","105","Co59","0.115715487","CLMB"
"CLMB","106","Co59","0.164561536","CLMB"
"CLMB","107","Co59","0.196680823","CLMB"
"CLMB","110","Co59","0.092161747","CLMB"
"CLMB","111","Co59","*","CLMB"
"CLMB","112","Co59","*","CLMB"
"CLMB","113","Co59","*","CLMB"
"CLMB","114","Co59","0.073906196","CLMB"
"CLMB","115","Co59","*","CLMB"
"CLMB","116","Co59","0.224274241","CLMB"
"CLMB","117","Co59","0.185470431","CLMB"
"CLMB","118","Co59","0.085965525","CLMB"
"CLMB","119","Co59","0.150730164","CLMB"
"CLMB","120","Co59","0.118018357","CLMB"
"CLMB","122","Co59","0.049992226","CLMB"
"CLMB","123","Co59","0.151759633","CLMB"
"CLMB","125","Co59","0.087804132","CLMB"
"CLMB","126","Co59","*","CLMB"
"CLMB","127","Co59","*","CLMB"
"CLMB","128","Co59","0.190602585","CLMB"
"CLMB","130","Co59","0.070929443","CLMB"
"CLMB","131","Co59","*","CLMB"
"CLMB","132","Co59","*","CLMB"
"CLMB","134","Co59","0.07404466","CLMB"
"CLMB","135","Co59","*","CLMB"
"CLMB","136","Co59","*","CLMB"
"CLMB","137","Co59","0.10845756","CLMB"
"CLMB","138","Co59","*","CLMB"
"CLMB","139","Co59","*","CLMB"
"CLMB","142","Co59","0.161074609","CLMB"
"CLMB","143","Co59","0.121396944","CLMB"
"CLMB","144","Co59","*","CLMB"
"CLMB","145","Co59","0.187259187","CLMB"
"CLMB","146","Co59","*","CLMB"
"CLMB","147","Co59","*","CLMB"
"CLMB","148","Co59","*","CLMB"
"CLMB","150","Co59","0.167654734","CLMB"
"CLMB","151","Co59","0.053905291","CLMB"
"CLMB","152","Co59","*","CLMB"
"CLMB","153","Co59","0.093051841","CLMB"
"CLMB","154","Co59","0.052590638","CLMB"
"CLMB","155","Co59","0.10092947","CLMB"
"CLMB","156","Co59","0.040105737","CLMB"
"CLMB","157","Co59","0.212596673","CLMB"
"CLMB","158","Co59","0.072636579","CLMB"
"CLMB","159","Co59","0.12268549","CLMB"
"CLMB","161","Co59","0.169625608","CLMB"
"CLMB","163","Co59","0.081933136","CLMB"
"CLMB","164","Co59","0.079150442","CLMB"
"CLMB","166","Co59","0.151756918","CLMB"
"CLMB","167","Co59","*","CLMB"
"CLMB","168","Co59","0.088071569","CLMB"
"CLMB","169","Co59","*","CLMB"
"CLMB","170","Co59","0.135777292","CLMB"
"CLMB","171","Co59","0.079445248","CLMB"
"CLMB","172","Co59","0.207749447","CLMB"
"CLMB","173","Co59","*","CLMB"
"CLMB","174","Co59","*","CLMB"
"CLMB","175","Co59","*","CLMB"
"CLMB","176","Co59","0.162915049","CLMB"
"CLMB","177","Co59","*","CLMB"
"CLMB","178","Co59","0.073928403","CLMB"
"CLMB","180","Co59","0.104546934","CLMB"
"CLMB","181","Co59","0.131743605","CLMB"
"CLMB","182","Co59","0.048160706","CLMB"
"CLMB","184","Co59","0.078714484","CLMB"
"CLMB","185","Co59","*","CLMB"
"CLMB","186","Co59","0.233999452","CLMB"
"CLMB","187","Co59","0.104660469","CLMB"
"CLMB","188","Co59","*","CLMB"
"CLMB","189","Co59","*","CLMB"
"CLMB","190","Co59","*","CLMB"
"CLMB","191","Co59","*","CLMB"
"CLMB","192","Co59","0.105081775","CLMB"
"CLMB","193","Co59","0.231305645","CLMB"
"CLMB","194","Co59","0.158393551","CLMB"
"CLMB","195","Co59","0.121242284","CLMB"
"CLMB","196","Co59","0.064243353","CLMB"
"CLMB","197","Co59","0.126412958","CLMB"
"CLMB","198","Co59","*","CLMB"
"CLMB","199","Co59","0.099165436","CLMB"
"CLMB","200","Co59","*","CLMB"
"CLMB","201","Co59","*","CLMB"
"CLMB","203","Co59","0.043872638","CLMB"
"CLMB","204","Co59","0.122361153","CLMB"
"CLMB","205","Co59","*","CLMB"
"CLMB","207","Co59","0.154687626","CLMB"
"CLMB","208","Co59","*","CLMB"
"CLMB","209","Co59","0.093388947","CLMB"
"CLMB","210","Co59","0.135332739","CLMB"
"CLMB","211","Co59","*","CLMB"
"CLMB","212","Co59","0.2165664","CLMB"
"CLMB","213","Co59","0.166921271","CLMB"
"CLMB","214","Co59","*","CLMB"
"CLMB","215","Co59","0.108699982","CLMB"
"CLMB","216","Co59","0.168485003","CLMB"
"CLMB","217","Co59","*","CLMB"
"CLMB","218","Co59","0.125666299","CLMB"
"CLMB","219","Co59","0.196983859","CLMB"
"CLMB","220","Co59","*","CLMB"
"CLMB","221","Co59","0.151211486","CLMB"
"CLMB","222","Co59","0.051192445","CLMB"
"CLMB","223","Co59","0.042601324","CLMB"
"CLMB","224","Co59","0.105769631","CLMB"
"CLMB","225","Co59","*","CLMB"
"CLMB","226","Co59","0.139327706","CLMB"
"CLMB","227","Co59","0.155452154","CLMB"
"CLMB","228","Co59","0.08612721","CLMB"
"CLMB","229","Co59","0.056588372","CLMB"
"CLMB","230","Co59","*","CLMB"
"CLMB","231","Co59","*","CLMB"
"CLMB","232","Co59","0.154671098","CLMB"
"CLMB","233","Co59","0.113165532","CLMB"
"CLMB","234","Co59","0.121259415","CLMB"
