"SITE","LINE","traits","Cd111","SITE2"
"CLMB","1","Cd111","0.018507378","CLMB"
"CLMB","2","Cd111","0.005266868","CLMB"
"CLMB","3","Cd111","0.012866982","CLMB"
"CLMB","4","Cd111","0.051147091","CLMB"
"CLMB","5","Cd111","0.019053163","CLMB"
"CLMB","7","Cd111","0.019079106","CLMB"
"CLMB","8","Cd111","*","CLMB"
"CLMB","9","Cd111","0.030893444","CLMB"
"CLMB","10","Cd111","*","CLMB"
"CLMB","11","Cd111","0.019969094","CLMB"
"CLMB","12","Cd111","0.033604157","CLMB"
"CLMB","13","Cd111","0.031352587","CLMB"
"CLMB","14","Cd111","*","CLMB"
"CLMB","15","Cd111","0.005431839","CLMB"
"CLMB","16","Cd111","*","CLMB"
"CLMB","17","Cd111","0.023654863","CLMB"
"CLMB","18","Cd111","*","CLMB"
"CLMB","19","Cd111","0.022449507","CLMB"
"CLMB","20","Cd111","0.013524349","CLMB"
"CLMB","21","Cd111","0.014187204","CLMB"
"CLMB","22","Cd111","*","CLMB"
"CLMB","23","Cd111","0.068246644","CLMB"
"CLMB","24","Cd111","0.019018746","CLMB"
"CLMB","25","Cd111","0.020733715","CLMB"
"CLMB","26","Cd111","0.017117741","CLMB"
"CLMB","27","Cd111","0.020672216","CLMB"
"CLMB","28","Cd111","0.027806304","CLMB"
"CLMB","29","Cd111","*","CLMB"
"CLMB","30","Cd111","0.021943748","CLMB"
"CLMB","31","Cd111","*","CLMB"
"CLMB","32","Cd111","0.029453044","CLMB"
"CLMB","33","Cd111","0.019725886","CLMB"
"CLMB","34","Cd111","0.019833611","CLMB"
"CLMB","35","Cd111","0.019320939","CLMB"
"CLMB","36","Cd111","0.013372364","CLMB"
"CLMB","37","Cd111","0.010047045","CLMB"
"CLMB","38","Cd111","0.014446023","CLMB"
"CLMB","39","Cd111","0.02992452","CLMB"
"CLMB","40","Cd111","0.016373063","CLMB"
"CLMB","41","Cd111","0.010381012","CLMB"
"CLMB","42","Cd111","*","CLMB"
"CLMB","43","Cd111","0.021706702","CLMB"
"CLMB","44","Cd111","0.058833558","CLMB"
"CLMB","46","Cd111","0.020393053","CLMB"
"CLMB","48","Cd111","0.007960743","CLMB"
"CLMB","49","Cd111","0.026328409","CLMB"
"CLMB","50","Cd111","0.036219715","CLMB"
"CLMB","52","Cd111","*","CLMB"
"CLMB","53","Cd111","0.022785347","CLMB"
"CLMB","54","Cd111","0.03033501","CLMB"
"CLMB","55","Cd111","0.041525489","CLMB"
"CLMB","56","Cd111","*","CLMB"
"CLMB","57","Cd111","0.022276648","CLMB"
"CLMB","58","Cd111","*","CLMB"
"CLMB","59","Cd111","0.026596656","CLMB"
"CLMB","60","Cd111","0.020460528","CLMB"
"CLMB","61","Cd111","0.01433452","CLMB"
"CLMB","62","Cd111","0.005292983","CLMB"
"CLMB","63","Cd111","0.009540244","CLMB"
"CLMB","64","Cd111","*","CLMB"
"CLMB","65","Cd111","0.025441214","CLMB"
"CLMB","66","Cd111","0.025213","CLMB"
"CLMB","67","Cd111","0.009670878","CLMB"
"CLMB","68","Cd111","0.031522141","CLMB"
"CLMB","69","Cd111","0.007089038","CLMB"
"CLMB","70","Cd111","*","CLMB"
"CLMB","71","Cd111","0.017635803","CLMB"
"CLMB","72","Cd111","0.020195331","CLMB"
