"SITE","LINE","traits","Mg26","SITE2"
"CLMB","1","Mg26","1153.522174","CLMB"
"CLMB","2","Mg26","912.2959423","CLMB"
"CLMB","3","Mg26","1160.758011","CLMB"
"CLMB","4","Mg26","1457.013955","CLMB"
"CLMB","5","Mg26","1046.739036","CLMB"
"CLMB","7","Mg26","1808.773545","CLMB"
"CLMB","8","Mg26","*","CLMB"
"CLMB","9","Mg26","1174.993271","CLMB"
"CLMB","10","Mg26","*","CLMB"
"CLMB","11","Mg26","1075.448737","CLMB"
"CLMB","12","Mg26","954.21599","CLMB"
"CLMB","13","Mg26","823.3317345","CLMB"
"CLMB","14","Mg26","*","CLMB"
"CLMB","15","Mg26","1467.751226","CLMB"
"CLMB","16","Mg26","*","CLMB"
"CLMB","17","Mg26","1172.321137","CLMB"
"CLMB","18","Mg26","*","CLMB"
"CLMB","19","Mg26","1282.892901","CLMB"
"CLMB","20","Mg26","1079.294683","CLMB"
"CLMB","21","Mg26","1107.809834","CLMB"
"CLMB","22","Mg26","*","CLMB"
"CLMB","23","Mg26","1264.346751","CLMB"
"CLMB","24","Mg26","989.3758686","CLMB"
"CLMB","25","Mg26","1048.279331","CLMB"
"CLMB","26","Mg26","1513.790534","CLMB"
"CLMB","27","Mg26","1199.957298","CLMB"
"CLMB","28","Mg26","1404.646605","CLMB"
"CLMB","29","Mg26","*","CLMB"
"CLMB","30","Mg26","921.6750231","CLMB"
"CLMB","31","Mg26","*","CLMB"
"CLMB","32","Mg26","1056.005492","CLMB"
"CLMB","33","Mg26","1163.383337","CLMB"
"CLMB","34","Mg26","884.3413574","CLMB"
"CLMB","35","Mg26","962.7818596","CLMB"
"CLMB","36","Mg26","1106.197383","CLMB"
"CLMB","37","Mg26","697.0487633","CLMB"
"CLMB","38","Mg26","1386.729285","CLMB"
"CLMB","39","Mg26","1220.37249","CLMB"
"CLMB","40","Mg26","1461.917911","CLMB"
"CLMB","41","Mg26","882.6807245","CLMB"
"CLMB","42","Mg26","*","CLMB"
"CLMB","43","Mg26","1175.841258","CLMB"
"CLMB","44","Mg26","1139.575996","CLMB"
"CLMB","46","Mg26","1079.137742","CLMB"
"CLMB","48","Mg26","1077.691052","CLMB"
"CLMB","49","Mg26","1207.834174","CLMB"
"CLMB","50","Mg26","1104.702554","CLMB"
"CLMB","52","Mg26","1303.631427","CLMB"
"CLMB","53","Mg26","1091.686343","CLMB"
"CLMB","54","Mg26","1139.722763","CLMB"
"CLMB","55","Mg26","1285.764745","CLMB"
"CLMB","56","Mg26","*","CLMB"
"CLMB","57","Mg26","1089.167694","CLMB"
"CLMB","58","Mg26","*","CLMB"
"CLMB","59","Mg26","1238.491653","CLMB"
"CLMB","60","Mg26","1748.629258","CLMB"
"CLMB","61","Mg26","1165.533046","CLMB"
"CLMB","62","Mg26","1717.520049","CLMB"
