"SITE","LINE","traits","Rb85","SITE2"
"CLMB","1","Rb85","2.52046314","CLMB"
"CLMB","2","Rb85","2.57170227","CLMB"
"CLMB","3","Rb85","2.42053601","CLMB"
"CLMB","4","Rb85","2.001287287","CLMB"
"CLMB","5","Rb85","2.242107673","CLMB"
"CLMB","7","Rb85","3.486085669","CLMB"
"CLMB","8","Rb85","*","CLMB"
"CLMB","9","Rb85","1.718482098","CLMB"
"CLMB","10","Rb85","*","CLMB"
"CLMB","11","Rb85","1.754759845","CLMB"
"CLMB","12","Rb85","2.744085675","CLMB"
"CLMB","13","Rb85","2.445146823","CLMB"
"CLMB","14","Rb85","*","CLMB"
"CLMB","15","Rb85","2.318259342","CLMB"
"CLMB","16","Rb85","*","CLMB"
"CLMB","17","Rb85","3.270075675","CLMB"
"CLMB","18","Rb85","*","CLMB"
"CLMB","19","Rb85","3.329294617","CLMB"
"CLMB","20","Rb85","3.342035609","CLMB"
"CLMB","21","Rb85","1.669856405","CLMB"
"CLMB","22","Rb85","*","CLMB"
"CLMB","23","Rb85","3.466888548","CLMB"
"CLMB","24","Rb85","1.532654314","CLMB"
"CLMB","25","Rb85","3.089651195","CLMB"
"CLMB","26","Rb85","3.94314141","CLMB"
"CLMB","27","Rb85","1.725791763","CLMB"
"CLMB","28","Rb85","2.841806621","CLMB"
"CLMB","29","Rb85","*","CLMB"
"CLMB","30","Rb85","2.027373344","CLMB"
"CLMB","31","Rb85","*","CLMB"
"CLMB","32","Rb85","1.77025786","CLMB"
"CLMB","33","Rb85","3.144951068","CLMB"
"CLMB","34","Rb85","2.021240684","CLMB"
"CLMB","35","Rb85","1.66525686","CLMB"
"CLMB","36","Rb85","2.686904132","CLMB"
"CLMB","37","Rb85","0.887002861","CLMB"
"CLMB","38","Rb85","3.263418259","CLMB"
"CLMB","39","Rb85","2.008255418","CLMB"
"CLMB","40","Rb85","2.212602968","CLMB"
"CLMB","41","Rb85","2.039351133","CLMB"
"CLMB","42","Rb85","*","CLMB"
"CLMB","43","Rb85","4.29048603","CLMB"
"CLMB","44","Rb85","1.508472377","CLMB"
"CLMB","46","Rb85","3.237828513","CLMB"
"CLMB","48","Rb85","3.917332302","CLMB"
"CLMB","49","Rb85","2.378061503","CLMB"
"CLMB","50","Rb85","2.768507944","CLMB"
"CLMB","52","Rb85","1.512485925","CLMB"
"CLMB","53","Rb85","1.722609883","CLMB"
"CLMB","54","Rb85","1.576561059","CLMB"
"CLMB","55","Rb85","2.22033383","CLMB"
"CLMB","56","Rb85","*","CLMB"
"CLMB","57","Rb85","2.08896085","CLMB"
"CLMB","58","Rb85","*","CLMB"
"CLMB","59","Rb85","2.105957614","CLMB"
"CLMB","60","Rb85","2.884580958","CLMB"
"CLMB","61","Rb85","2.080030668","CLMB"
"CLMB","62","Rb85","1.730573596","CLMB"
"CLMB","63","Rb85","1.924464569","CLMB"
"CLMB","64","Rb85","*","CLMB"
"CLMB","65","Rb85","1.76895504","CLMB"
"CLMB","66","Rb85","2.872715014","CLMB"
"CLMB","67","Rb85","1.937140926","CLMB"
"CLMB","68","Rb85","2.290045847","CLMB"
"CLMB","69","Rb85","1.546770523","CLMB"
"CLMB","70","Rb85","*","CLMB"
"CLMB","71","Rb85","1.306740469","CLMB"
"CLMB","72","Rb85","3.190831783","CLMB"
"CLMB","73","Rb85","3.804712779","CLMB"
"CLMB","74","Rb85","1.988247189","CLMB"
"CLMB","75","Rb85","3.050303724","CLMB"
"CLMB","76","Rb85","2.213002212","CLMB"
"CLMB","77","Rb85","*","CLMB"
"CLMB","78","Rb85","2.290272639","CLMB"
"CLMB","79","Rb85","3.360556073","CLMB"
"CLMB","80","Rb85","3.489685503","CLMB"
"CLMB","81","Rb85","*","CLMB"
"CLMB","83","Rb85","1.994185746","CLMB"
"CLMB","84","Rb85","*","CLMB"
"CLMB","85","Rb85","2.037508859","CLMB"
"CLMB","86","Rb85","1.899703808","CLMB"
"CLMB","87","Rb85","3.966693934","CLMB"
"CLMB","88","Rb85","3.407663063","CLMB"
"CLMB","89","Rb85","3.24673538","CLMB"
"CLMB","90","Rb85","1.94520921","CLMB"
"CLMB","91","Rb85","3.074407923","CLMB"
"CLMB","93","Rb85","2.841522839","CLMB"
"CLMB","94","Rb85","2.112384143","CLMB"
"CLMB","95","Rb85","*","CLMB"
"CLMB","96","Rb85","*","CLMB"
"CLMB","97","Rb85","1.896099987","CLMB"
"CLMB","99","Rb85","1.645145421","CLMB"
"CLMB","100","Rb85","2.109956468","CLMB"
"CLMB","101","Rb85","*","CLMB"
"CLMB","102","Rb85","1.223397538","CLMB"
"CLMB","103","Rb85","2.680005057","CLMB"
"CLMB","104","Rb85","2.596615154","CLMB"
"CLMB","105","Rb85","2.295986196","CLMB"
"CLMB","106","Rb85","3.013985517","CLMB"
"CLMB","107","Rb85","1.984832126","CLMB"
"CLMB","110","Rb85","2.361495765","CLMB"
"CLMB","111","Rb85","3.271366353","CLMB"
"CLMB","112","Rb85","2.02484946","CLMB"
"CLMB","113","Rb85","*","CLMB"
"CLMB","114","Rb85","2.58929053","CLMB"
"CLMB","115","Rb85","*","CLMB"
"CLMB","116","Rb85","2.673571959","CLMB"
"CLMB","117","Rb85","3.612859966","CLMB"
"CLMB","118","Rb85","3.871967934","CLMB"
"CLMB","119","Rb85","2.516923862","CLMB"
"CLMB","120","Rb85","2.055873548","CLMB"
"CLMB","122","Rb85","2.321443493","CLMB"
"CLMB","123","Rb85","1.916033352","CLMB"
"CLMB","125","Rb85","1.470129967","CLMB"
"CLMB","126","Rb85","*","CLMB"
"CLMB","127","Rb85","*","CLMB"
"CLMB","128","Rb85","4.079734065","CLMB"
"CLMB","130","Rb85","2.813183271","CLMB"
"CLMB","131","Rb85","2.140379615","CLMB"
"CLMB","132","Rb85","2.463683319","CLMB"
"CLMB","134","Rb85","3.224930079","CLMB"
"CLMB","135","Rb85","2.122807823","CLMB"
"CLMB","136","Rb85","*","CLMB"
"CLMB","137","Rb85","3.164884015","CLMB"
"CLMB","138","Rb85","*","CLMB"
"CLMB","139","Rb85","*","CLMB"
"CLMB","141","Rb85","2.520938856","CLMB"
"CLMB","142","Rb85","2.785985014","CLMB"
"CLMB","143","Rb85","2.904396669","CLMB"
"CLMB","144","Rb85","*","CLMB"
"CLMB","145","Rb85","1.640665937","CLMB"
"CLMB","146","Rb85","*","CLMB"
"CLMB","147","Rb85","2.015453503","CLMB"
"CLMB","148","Rb85","*","CLMB"
"CLMB","150","Rb85","3.233469235","CLMB"
"CLMB","151","Rb85","2.260509145","CLMB"
"CLMB","152","Rb85","*","CLMB"
"CLMB","153","Rb85","3.835443426","CLMB"
"CLMB","154","Rb85","1.59373904","CLMB"
"CLMB","155","Rb85","2.736321114","CLMB"
"CLMB","156","Rb85","1.846627934","CLMB"
"CLMB","157","Rb85","2.026851426","CLMB"
"CLMB","158","Rb85","3.406468538","CLMB"
"CLMB","159","Rb85","1.70639705","CLMB"
"CLMB","161","Rb85","3.003035652","CLMB"
"CLMB","163","Rb85","3.542110467","CLMB"
"CLMB","164","Rb85","1.575231953","CLMB"
"CLMB","166","Rb85","2.301098784","CLMB"
"CLMB","167","Rb85","3.780366169","CLMB"
"CLMB","168","Rb85","1.906065514","CLMB"
"CLMB","169","Rb85","*","CLMB"
"CLMB","170","Rb85","3.01598343","CLMB"
"CLMB","171","Rb85","2.118577848","CLMB"
"CLMB","172","Rb85","3.64914128","CLMB"
"CLMB","173","Rb85","2.4354473","CLMB"
"CLMB","174","Rb85","1.304367558","CLMB"
"CLMB","175","Rb85","*","CLMB"
"CLMB","176","Rb85","3.704054553","CLMB"
"CLMB","177","Rb85","3.060350225","CLMB"
"CLMB","178","Rb85","3.043322624","CLMB"
"CLMB","179","Rb85","1.081297993","CLMB"
"CLMB","180","Rb85","2.432234758","CLMB"
"CLMB","181","Rb85","3.620852188","CLMB"
"CLMB","182","Rb85","1.601390667","CLMB"
"CLMB","184","Rb85","3.394447917","CLMB"
"CLMB","185","Rb85","2.272453338","CLMB"
"CLMB","186","Rb85","3.471519325","CLMB"
"CLMB","187","Rb85","1.236107868","CLMB"
"CLMB","188","Rb85","1.604728813","CLMB"
"CLMB","189","Rb85","*","CLMB"
"CLMB","190","Rb85","*","CLMB"
"CLMB","191","Rb85","2.310283047","CLMB"
"CLMB","192","Rb85","2.436082949","CLMB"
"CLMB","193","Rb85","2.231987366","CLMB"
"CLMB","194","Rb85","2.118836992","CLMB"
"CLMB","195","Rb85","3.146680365","CLMB"
"CLMB","196","Rb85","1.851972165","CLMB"
"CLMB","197","Rb85","2.8288202","CLMB"
"CLMB","198","Rb85","2.081643908","CLMB"
"CLMB","199","Rb85","2.143967145","CLMB"
"CLMB","200","Rb85","2.235940196","CLMB"
"CLMB","201","Rb85","*","CLMB"
"CLMB","203","Rb85","1.425041542","CLMB"
"CLMB","204","Rb85","2.802639617","CLMB"
"CLMB","205","Rb85","*","CLMB"
"CLMB","207","Rb85","1.758541358","CLMB"
"CLMB","208","Rb85","*","CLMB"
"CLMB","209","Rb85","2.439479348","CLMB"
"CLMB","210","Rb85","1.568694106","CLMB"
"CLMB","211","Rb85","2.330051667","CLMB"
"CLMB","212","Rb85","1.411150932","CLMB"
"CLMB","213","Rb85","2.80183942","CLMB"
"CLMB","214","Rb85","*","CLMB"
"CLMB","215","Rb85","2.979029884","CLMB"
"CLMB","216","Rb85","2.181567124","CLMB"
"CLMB","217","Rb85","*","CLMB"
"CLMB","218","Rb85","2.496783076","CLMB"
"CLMB","219","Rb85","1.655137238","CLMB"
"CLMB","220","Rb85","*","CLMB"
"CLMB","221","Rb85","2.424969199","CLMB"
"CLMB","222","Rb85","2.272538593","CLMB"
"CLMB","223","Rb85","1.385067019","CLMB"
"CLMB","224","Rb85","3.382111989","CLMB"
"CLMB","225","Rb85","2.023114817","CLMB"
"CLMB","226","Rb85","1.883035113","CLMB"
"CLMB","227","Rb85","2.708390822","CLMB"
"CLMB","228","Rb85","2.100877278","CLMB"
