"SITE","LINE","traits","Cu63","SITE2"
"CLMB","1","Cu63","5.312428834","CLMB"
"CLMB","2","Cu63","6.321240299","CLMB"
"CLMB","3","Cu63","9.114602751","CLMB"
"CLMB","4","Cu63","9.68173556","CLMB"
"CLMB","5","Cu63","11.04270457","CLMB"
"CLMB","7","Cu63","9.187745491","CLMB"
"CLMB","8","Cu63","*","CLMB"
"CLMB","9","Cu63","8.37604877","CLMB"
"CLMB","10","Cu63","*","CLMB"
"CLMB","11","Cu63","8.099038615","CLMB"
"CLMB","12","Cu63","11.19669919","CLMB"
"CLMB","13","Cu63","9.897801038","CLMB"
"CLMB","14","Cu63","*","CLMB"
"CLMB","15","Cu63","7.06382124","CLMB"
"CLMB","16","Cu63","*","CLMB"
"CLMB","17","Cu63","8.860553277","CLMB"
"CLMB","18","Cu63","*","CLMB"
"CLMB","19","Cu63","8.614418858","CLMB"
"CLMB","20","Cu63","7.279475085","CLMB"
"CLMB","21","Cu63","4.34612936","CLMB"
"CLMB","22","Cu63","*","CLMB"
"CLMB","23","Cu63","10.5185959","CLMB"
"CLMB","24","Cu63","4.927576849","CLMB"
"CLMB","25","Cu63","9.150692958","CLMB"
"CLMB","26","Cu63","6.513448236","CLMB"
"CLMB","27","Cu63","4.402455226","CLMB"
"CLMB","28","Cu63","4.759416147","CLMB"
"CLMB","29","Cu63","*","CLMB"
"CLMB","30","Cu63","10.95068994","CLMB"
"CLMB","31","Cu63","*","CLMB"
"CLMB","32","Cu63","3.363260116","CLMB"
"CLMB","33","Cu63","*","CLMB"
"CLMB","34","Cu63","6.303197989","CLMB"
"CLMB","35","Cu63","7.772867436","CLMB"
"CLMB","36","Cu63","10.42594377","CLMB"
"CLMB","37","Cu63","5.19314319","CLMB"
"CLMB","38","Cu63","4.63622702","CLMB"
"CLMB","39","Cu63","11.11498296","CLMB"
"CLMB","40","Cu63","9.605134808","CLMB"
"CLMB","41","Cu63","3.798143017","CLMB"
"CLMB","42","Cu63","*","CLMB"
"CLMB","43","Cu63","11.99286073","CLMB"
