"TRAIT","GO","NAME","FUNCTION","QTL","locusName","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG061843","AT5G25930","","Protein kinase family protein with leucine-rich repeat domain","LOC_Os06g36270","receptor-like protein kinase 5 precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG062100","AT3G10430","","F-box and associated interaction domains-containing protein","LOC_Os04g11790","OsFBX120 - F-box domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG071688","AT3G49030","","FBD, F-box and Leucine Rich Repeat domains containing protein","LOC_Os06g10290","OsFBX191 - F-box domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG076600","AT5G46860","ATSYP22,ATVAM3,SGR3,SYP22,VAM3","Syntaxin/t-SNARE family protein","LOC_Os01g15110","syntaxin, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG077500","AT2G22125","CSI1","binding","LOC_Os06g11990","expressed protein"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG098500","AT1G24130","","Transducin/WD40 repeat-like superfamily protein","LOC_Os06g13140","WD domain, G-beta repeat domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG099500","AT1G74590","ATGSTU10,GSTU10","glutathione S-transferase TAU 10","LOC_Os06g12290","glutathione S-transferase GSTU6, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG102900","AT5G16710","DHAR3","dehydroascorbate reductase 1","LOC_Os06g12630","glutathione S-transferase, N-terminal domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG102920","AT3G46920","","Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain","LOC_Os06g08280","protein kinase domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG112819","AT1G69630","","F-box/RNI-like superfamily protein","LOC_Os07g02770","OsFBL32 - F-box domain and LRR containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG116600","AT2G42730","","F-box family protein","LOC_Os12g31340","OsFBD15 - F-box and FBD domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG117300","AT1G74180","AtRLP14,RLP14","receptor like protein 14","LOC_Os04g55420","leucine-rich repeat family protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG117500","AT1G58190","AtRLP9,RLP9","receptor like protein 9","LOC_Os04g55420","leucine-rich repeat family protein, putative, expressed"
