"GO.ID","Term","Annotated","Significant","Expected","raw.p.value","Trait","pr"
"GO:0004424","imidazoleglycerol-phosphate dehydratase activity",4,3,0.22,"0.00067","Al27","MF"
"GO:0020037","heme binding",961,77,53.83,"0.00104","Al27","MF"
"GO:0019901","protein kinase binding",23,6,1.29,"0.00135","Al27","MF"
"GO:0047750","cholestenol delta-isomerase activity",5,3,0.28,"0.00161","Al27","MF"
"GO:0004650","polygalacturonase activity",45,8,2.52,"0.00321","Al27","MF"
"GO:0004012","phospholipid-translocating ATPase activity",20,5,1.12,"0.00419","Al27","MF"
"GO:0016747","transferase activity, transferring acyl groups other than amino-acyl groups",521,40,29.18,"0.00451","Al27","MF"
"GO:0008061","chitin binding",30,6,1.68,"0.00569","Al27","MF"
"GO:0008107","galactoside 2-alpha-L-fucosyltransferase activity",31,6,1.74,"0.00673","Al27","MF"
"GO:0050660","flavin adenine dinucleotide binding",206,20,11.54,"0.00673","Al27","MF"
"GO:0004602","glutathione peroxidase activity",15,4,0.84,"0.00814","Al27","MF"
"GO:0003676","nucleic acid binding",3951,237,221.31,"0.00885","Al27","MF"
"GO:0019211","phosphatase activator activity",3,2,0.17,"0.00906","Al27","MF"
"GO:0016174","NAD(P)H oxidase activity",3,2,0.17,"0.00906","Al27","MF"
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity",23,6,1.32,"0.0015","Al27","BP"
"GO:0016125","sterol metabolic process",5,3,0.29,"0.0017","Al27","BP"
"GO:0015914","phospholipid transport",20,5,1.15,"0.0047","Al27","BP"
"GO:0055114","oxidation-reduction process",2527,177,145.33,"0.0055","Al27","BP"
"GO:0042546","cell wall biogenesis",51,8,2.93,"0.0076","Al27","BP"
"GO:0005615","extracellular space",43,7,1.58,"0.00087","Ca44","CC"
"GO:0015935","small ribosomal subunit",9,3,0.33,"0.00351","Ca44","CC"
"GO:0009538","photosystem I reaction center",10,3,0.37,"0.00488","Ca44","CC"
"GO:0005694","chromosome",184,9,6.77,"0.00787","Ca44","CC"
"GO:0004869","cysteine-type endopeptidase inhibitor activity",39,7,1.78,"0.0017","Ca44","MF"
"GO:0003856","3-dehydroquinate synthase activity",3,2,0.14,"0.0060","Ca44","MF"
"GO:0016758","transferase activity, transferring hexosyl groups",892,52,40.68,"0.0073","Ca44","MF"
"GO:0008234","cysteine-type peptidase activity",358,27,16.33,"0.0090","Ca44","MF"
"GO:0008080","N-acetyltransferase activity",92,10,4.2,"0.0091","Ca44","MF"
"GO:0008271","secondary active sulfate transmembrane transporter activity",19,4,0.87,"0.0096","Ca44","MF"
"GO:0008152","metabolic process",15566,728,696.36,"0.00038","Ca44","BP"
"GO:0032259","methylation",82,7,3.67,"0.00421","Ca44","BP"
"GO:0045039","protein import into mitochondrial inner membrane",3,2,0.13,"0.00582","Ca44","BP"
"GO:0043419","urea catabolic process",3,2,0.13,"0.00582","Ca44","BP"
"GO:0008272","sulfate transport",19,4,0.85,"0.00900","Ca44","BP"
"GO:0005853","eukaryotic translation elongation factor 1 complex",6,2,0.12,"0.0055","Cd111","CC"
"GO:0031225","anchored component of membrane",22,3,0.43,"0.0087","Cd111","CC"
"GO:0004601","peroxidase activity",339,15,5.89,"0.00095","Cd111","MF"
"GO:0004134","4-alpha-glucanotransferase activity",4,2,0.07,"0.00176","Cd111","MF"
"GO:0020037","heme binding",961,29,16.69,"0.00304","Cd111","MF"
"GO:0016161","beta-amylase activity",19,3,0.33,"0.00410","Cd111","MF"
"GO:0004452","isopentenyl-diphosphate delta-isomerase activity",6,2,0.1,"0.00431","Cd111","MF"
"GO:0046872","metal ion binding",3541,66,61.49,"0.00578","Cd111","MF"
"GO:0005337","nucleoside transmembrane transporter activity",7,2,0.12,"0.00596","Cd111","MF"
"GO:0006979","response to oxidative stress",336,15,6.33,"0.0019","Cd111","BP"
"GO:0010215","cellulose microfibril organization",18,3,0.34,"0.0044","Cd111","BP"
"GO:0000272","polysaccharide catabolic process",19,3,0.36,"0.0051","Cd111","BP"
"GO:0007165","signal transduction",426,13,8.02,"0.0064","Cd111","BP"
"GO:0016049","cell growth",22,3,0.41,"0.0078","Cd111","BP"
"GO:0004834","tryptophan synthase activity",16,5,0.7,"0.00045","Cu63","MF"
"GO:0003700","DNA-binding transcription factor activity",1054,69,45.85,"0.00051","Cu63","MF"
"GO:0004334","fumarylacetoacetase activity",6,3,0.26,"0.00149","Cu63","MF"
"GO:0016491","oxidoreductase activity",3000,144,130.52,"0.00196","Cu63","MF"
"GO:0016844","strictosidine synthase activity",44,7,1.91,"0.00271","Cu63","MF"
"GO:0017150","tRNA dihydrouridine synthase activity",8,3,0.35,"0.00390","Cu63","MF"
"GO:0009072","aromatic amino acid family metabolic process",99,14,4.65,"0.00049","Cu63","BP"
"GO:0006355","regulation of transcription, DNA-templated",2228,133,104.73,"0.00152","Cu63","BP"
"GO:0006568","tryptophan metabolic process",25,7,1.18,"0.00193","Cu63","BP"
"GO:0010411","xyloglucan metabolic process",3,2,0.14,"0.00642","Cu63","BP"
"GO:0048046","apoplast",64,5,1.03,"0.0035","Fe54","CC"
