"QTL","TRAIT","pvGenes","ArabGenes","RiceGenes"
"4N@31.99","Al27",1790,936,1161
"5K@37.73","Al27",1182,611,768
"7K@41.91","Al27",305,179,208
"9K@76.29","Al27",999,690,767
"2N@24.04","Ca44",728,384,459
"7K@45.81","Ca44",599,389,433
"8K@16.12","Ca44",1029,380,512
"9K@20.05","Ca44",746,536,596
"9K@93.88","Ca44",463,329,358
"2K@32.06","Cd111",358,201,243
"2N@85.72","Cd111",1056,697,791
"1K@14.42","Cu63",511,289,337
"1K@71.78","Cu63",550,375,421
"3K@46.01","Cu63",719,471,527
"4K@12.1","Cu63",800,457,526
"7K@26.27","Cu63",772,490,555
"4N@24.17","Fe54",641,412,464
"7K@38","Fe54",437,261,302
"1K@23.9","K39",611,306,368
"2N@54.01","K39",841,498,580
"4N@5.74","K39",425,254,303
"8K@14.04","K39",1005,388,514
"9K@103.91","K39",416,296,327
"9N@34.17","K39",497,309,356
"9N@77.93","K39",1086,728,810
"1N@69.84","Mg26",613,416,461
"2K@0","Mg26",373,174,207
"2K@81.9","Mg26",927,568,648
"3K@54.02","Mg26",1784,909,1096
"3N@9.89","Mg26",612,402,458
"4N@70.9","Mg26",724,445,516
"5N@70.14","Mg26",671,416,478
"7N@36.06","Mg26",556,360,412
"9K@18.15","Mg26",364,268,290
"2N@10.06","Mn55",509,239,297
"3N@51.93","Mn55",862,584,661
"5K@12.07","Mn55",863,484,589
"7K@40.02","Mn55",305,179,208
"9K@20.05","Mn55",655,472,516
"5K@56.02","Mo98",1321,802,946
"9N@43.81","Mo98",543,341,398
"5K@51.99","Na23",601,339,385
"5N@47.97","Na23",136,62,78
"1K@8.08","P31",632,367,429
"1K@75.9","P31",688,469,528
"2N@3.99","P31",509,239,297
"2N@78.05","P31",787,500,576
"3K@26.18","P31",840,529,602
"3K@90.02","P31",241,121,148
"3N@56.03","P31",1260,839,951
"4K@6.08","P31",303,165,201
"4K@50","P31",1057,615,717
"5K@65.91","P31",1618,994,1158
"5N@3.81","P31",311,189,225
"8K@16.12","P31",548,207,280
"9K@89.93","P31",328,237,254
"9N@28.06","P31",1574,999,1147
"1K@34.1","Rb85",481,219,279
"2N@39.46","Rb85",331,189,225
"2N@72.03","Rb85",325,194,228
"5K@95.5","Rb85",216,147,165
"7N@17.86","Rb85",1290,744,849
"8N@0","Rb85",563,249,309
"9N@24.08","Rb85",391,256,289
"9N@62.13","Rb85",959,510,620
"2K@25.73","Sr88",292,139,163
"2N@31.96","Sr88",618,330,380
"5K@15.72","Sr88",926,526,633
"7K@45.81","Sr88",593,370,421
"7N@9.79","Sr88",777,405,481
"8K@39.99","Sr88",576,201,251
"9K@37.99","Sr88",429,272,285
"9K@74.08","Sr88",323,222,258
"9N@52.1","Sr88",593,327,399
"2N@31.96","Zn66",597,331,384
"3K@36.09","Zn66",655,441,491
"7K@21.97","Zn66",1470,909,1068
