"SITE","LINE","B","Na","Mg","Al","P","K","Ca","Mn","Fe","Co","Cu","Zn","As","Se","Rb","Sr","Mo","Cd"
"MI","1",1.297774771,9.620697456,1408.267753,46.98628139,313.476029,34860.99405,2207.849321,49.2735314,36.44273003,0.044599966,3.584533204,NA,0.012105157,NA,0.528840996,6.007812833,0.047624735,0.037108841
"MI","10",2.791297386,5.870876591,1123.835416,46.18445488,261.2917097,36324.02826,1425.43643,38.49495758,35.85612583,0.040529749,5.624464211,6.037103671,0.008838648,NA,0.538055535,4.535704079,0.033846949,0.016418381
"MI","100",3.918096471,5.641008573,807.5461606,50.84451482,238.3319994,52986.82501,902.962717,45.01895147,29.41775775,0.019033597,2.680625916,6.626051302,0.009122927,NA,1.027349581,2.358474628,0.020295702,0.01928729
"MI","101",3.485526842,7.803421296,910.4070047,65.00982862,324.4066124,74530.66922,998.396422,61.65411677,35.70525231,0.034995384,4.619888864,6.851083352,NA,NA,1.187373017,3.101167866,0.055957899,0.067523123
"MI","103",1.897361049,6.611186878,1011.150057,45.66113233,248.5700171,84373.68606,1422.060137,47.60054133,26.2679629,0.030696244,3.655994355,9.618411125,0.008706368,NA,2.245211901,3.551416856,0.04408924,0.031673072
"MI","104",2.411015458,16.68795569,2112.768388,42.11343142,188.6433228,32794.60028,2188.627295,37.6752868,22.09515587,0.025248823,3.242076716,2.592779666,0.008778884,NA,0.901120877,NA,0.040641025,0.015541886
"MI","105",1.859713309,12.60943995,1448.411974,45.14062404,428.2301726,72463.69371,934.9307398,38.03104497,30.76913331,0.029049567,4.640416674,6.208063767,0.007321278,NA,1.30896943,3.238383536,0.032005928,0.010578611
"MI","106",2.349467753,6.373997618,996.2670351,43.18543542,408.5320582,69526.18981,1689.195193,47.20805055,31.02183763,0.031745556,3.655494253,7.310978907,0.013681425,NA,1.423677372,4.888613968,NA,0.019640797
"MI","107",1.320851222,5.534097762,1277.511997,42.55205273,229.9084002,59639.47291,1674.645017,74.56599332,24.42702912,0.036204656,3.044603127,6.862000126,NA,NA,0.897630194,4.869461796,0.032187528,0.049067131
"MI","11",2.425540518,7.662789191,1717.433136,48.90980134,311.085422,47568.07356,1099.472899,42.36579995,31.44122373,0.026535617,3.510920323,6.919958379,0.01752891,NA,0.907987325,3.919530936,0.026609982,0.034391086
"MI","110",2.080184065,7.451520752,1767.820229,33.40151451,312.4674955,89803.11258,1647.627323,50.52167749,22.84721064,0.025045911,3.060270552,5.704793977,0.007436854,NA,1.351977278,5.344624206,0.019755822,0.019988294
"MI","111",2.315249197,7.381712205,1217.251028,33.26202367,217.772891,62791.24284,1654.58789,62.0197353,26.53524292,0.025334259,6.872959802,4.901314669,0.006864147,NA,1.142447876,5.362071326,0.027093236,0.019829901
"MI","112",1.944713039,5.29451536,1362.912755,52.04469163,219.4884922,34805.94566,1306.879844,63.36762906,27.63193909,0.02207055,3.818876738,7.501268591,NA,NA,0.63500722,3.491264248,0.031923757,0.075449556
"MI","114",1.068449152,15.13632631,964.8866036,42.5646903,192.1975005,75818.40551,1613.82764,88.07159524,25.52439744,0.023833334,2.536602756,6.437117754,0.022290884,NA,1.580073844,4.127484096,0.031021944,0.04137756
"MI","115",4.714085881,9.807383151,781.1300018,36.15629336,176.2970453,47270.97639,888.4563505,27.40142299,23.74498735,0.020002081,2.260888494,3.632778057,0.007286459,NA,0.808016976,2.351960087,0.025561764,0.002513233
"MI","116",2.234810877,NA,1491.749229,48.77041281,273.0972101,66999.55512,1334.914355,61.83650735,28.83472238,0.024110702,4.03397949,7.731503525,NA,NA,1.044706204,4.36952768,0.02956311,0.046469389
"MI","117",2.815937445,5.918270625,NA,47.27027576,320.0168946,20214.78505,2366.619727,51.28751636,34.45024547,0.033627676,4.969219338,7.022896064,0.0128178,0.000918599,0.460741654,6.032094044,0.038397439,0.044876385
"MI","118",4.480667578,7.532106611,1034.153011,30.04631222,180.5924881,81938.72568,1147.161563,31.72118212,20.23665493,0.016718606,2.516210212,2.928336341,0.005817342,NA,1.079735826,3.11322841,0.018628822,0.034098141
"MI","119",2.006129138,13.97924859,1571.00363,51.23086494,310.7883835,74612.1918,1262.115107,71.56802918,31.4659129,0.018500537,3.598321076,10.59222156,0.010193718,NA,1.581417487,4.05608457,0.023763542,0.040995715
"MI","12",3.44808176,7.708247867,1239.806924,30.67000833,286.2204468,24344.07426,1477.283131,45.16035277,21.03212511,0.022595035,3.489468681,13.65419889,0.007521909,0.011035168,0.555543999,3.718868333,0.022194977,0.016293073
"MI","122",4.617269942,8.208194826,1212.359297,43.75053207,379.0781877,63310.0898,1177.065194,54.76533781,NA,0.056308714,5.449306911,10.96545186,0.009822851,NA,0.937072409,2.933055682,0.036923137,0.02113937
"MI","123",2.424796026,7.821283745,1302.891695,45.87128725,306.2535677,54774.07987,1571.319458,64.35123303,33.71990851,0.030421965,4.134110948,8.439918503,0.010603351,NA,1.006375428,3.95425194,0.0359386,0.035933053
"MI","125",3.157649781,5.990067202,1391.297507,46.33960265,292.9207003,52861.97822,1419.83924,54.19594158,25.37102644,0.024653195,3.668199048,4.177478263,0.010467951,NA,0.940877208,4.56262034,0.037059723,0.036620508
"MI","126",4.494724777,6.888818987,1303.094549,40.83226996,271.1998931,18390.69443,1212.848238,37.52424504,34.39961784,0.039874313,4.666184185,6.452729054,0.011853489,0.004532715,0.425776827,4.064119679,0.042438616,0.041036026
"MI","127",7.884970104,10.82069567,1015.444688,26.10244762,192.8011845,63122.45689,1217.465616,38.68426311,17.95356054,0.020533007,2.926285059,3.940286585,0.007377803,NA,1.034179184,2.92978501,0.031005358,0.007663528
"MI","128",5.27485958,11.73063485,1125.773682,32.14093365,247.1799342,66925.66253,1247.672234,33.32359203,23.43089228,0.029544163,3.832991254,NA,0.0063203,0.013677208,1.465549597,3.316796884,0.020651284,0.007860088
"MI","130",2.953541858,7.676591759,1516.678727,34.04322383,231.3552499,88057.16543,1570.57801,40.39991411,27.46402981,0.030142875,3.405569904,3.101618915,0.007511598,NA,1.411334946,4.096542434,0.045237903,0.041277196
"MI","131",2.699270106,9.982033829,1429.455119,18.64514901,332.6119745,47254.61072,1103.832717,64.10999529,19.2380956,0.025696785,2.958496202,8.689125077,0.005820587,0.012007179,0.864646874,3.164104427,0.019918465,0.01076002
"MI","132",2.497433666,15.34681117,894.6754158,46.23979786,214.7489205,92154.91277,1653.887235,71.9447712,27.08668395,0.018737705,3.754798102,7.497287284,0.007665472,NA,1.278544497,4.146328871,0.031836913,0.049438452
"MI","134",2.898097463,13.40261931,954.2706364,53.90821276,238.398778,77518.55889,1170.826111,36.83741253,26.98646827,0.018129853,2.196701489,6.901721204,0.012308557,NA,1.159399561,3.048313275,0.02532029,0.017403299
"MI","135",2.961161634,13.85603542,1321.671909,33.19481965,232.9139716,55783.49005,1311.927543,35.02203784,30.7610397,0.029668313,3.759559352,4.549246887,0.006807417,NA,1.234684977,3.853523789,0.027864731,0.035177083
"MI","136",3.520992367,6.984895314,1151.264537,32.91733201,287.2534339,81064.58695,2150.948556,53.72068637,24.79631744,0.031372917,2.768695267,4.900839567,0.010725501,NA,1.510185245,5.798758653,0.0343415,0.06569817
"MI","137",1.189920958,14.70334707,1518.809663,46.39737534,193.3562654,53041.4471,NA,45.67770591,32.15399249,NA,3.6943818,NA,0.010467119,NA,0.98543869,5.057833128,0.034569438,0.021747249
"MI","139",1.380896617,13.65508431,1003.026279,50.52436078,262.9393628,72435.07457,951.5465222,40.92636968,29.60112701,0.031747059,4.130050491,5.606846052,0.010192196,NA,1.353761141,2.62458522,0.02415343,0.02020212
"MI","14",3.840351544,10.72295557,1052.982984,40.63845125,351.787623,80462.94322,1357.925067,61.19150103,35.07618074,0.034742424,3.552814164,11.46266573,0.007963752,0.029969494,2.009393549,3.188553806,0.027704409,0.011991557
"MI","142",2.759439577,6.019846621,1406.139923,29.10741668,170.4622176,23492.71823,1123.072243,40.79794989,21.50667737,0.018771894,3.253423503,3.102267697,0.009109099,0.003752201,0.323724839,3.330040922,0.036180675,0.029076049
"MI","143",7.245104077,9.992445772,621.1518826,27.58110259,237.6507846,80863.38979,680.870542,27.57440473,21.69646362,0.021435497,3.056895155,11.77190656,0.004444165,0.015096385,1.53400898,1.81839034,0.020275723,0.005024772
"MI","144",4.84961981,9.51761066,1116.691505,25.45689324,200.1852369,51429.74653,1018.225785,44.06379974,19.57456467,0.025271201,2.965888015,4.414580959,0.006877317,0.007493767,1.145989459,3.325990977,0.020910051,0.018014599
"MI","145",2.372592219,9.614620544,1458.762694,43.8515341,312.0747754,44136.01302,1042.829877,76.00947369,29.69239077,0.044333575,5.232609049,9.165233526,0.009002907,NA,0.933011823,3.782412148,0.029500878,0.040932058
"MI","147",1.060072349,5.727121422,986.0872161,45.53390957,258.3295127,57396.80721,1264.017566,60.48102838,25.37487929,0.026318893,3.097332172,7.976934155,0.011449814,0.005802546,0.779184162,3.263437942,0.040788065,0.05610402
"MI","148",6.714666588,9.222954141,1166.4645,29.33349394,317.7941743,48196.37803,1426.221538,46.71800419,25.04762972,0.031818604,5.137533165,7.101253187,0.005034666,0.015805372,1.09311518,4.030574483,0.031179782,0.011901363
"MI","15",2.997307962,11.80873726,1305.914449,31.01563136,239.012473,74586.58405,1170.927818,42.27334884,27.92393382,0.026159928,3.424843062,4.159361414,0.007024997,NA,1.20431278,2.841651827,0.033376022,0.020566208
"MI","150",1.74357379,5.359840325,1226.671586,37.95247278,195.7320115,17508.00672,1735.832837,61.56023701,27.6057231,0.027986777,3.19565374,5.594868606,0.007964248,NA,0.44609145,4.522583897,0.022420191,0.060720374
"MI","151",2.960558808,7.865150508,1269.257416,30.4249532,240.7320934,52139.43348,1421.403189,55.73304438,26.11589265,0.031883722,4.129365172,4.294693809,0.00898082,NA,0.936275901,4.617689381,0.033247096,0.024250479
"MI","152",2.463484005,7.092939874,1045.725818,51.32094266,311.6184463,61094.58574,1001.5646,72.66907431,33.9909335,0.028671501,4.543681333,7.916617844,NA,NA,0.99197393,2.968260177,0.034452191,0.028143994
"MI","153",NA,NA,1113.812927,24.85288134,298.5908068,106483.9112,1380.552329,23.72023917,19.95770388,0.02182775,3.639614455,3.656007233,0.008456725,0.004003448,NA,3.398555191,0.034459807,0.012441429
"MI","154",NA,11.32999548,1990.772946,38.04765794,419.71171,87643.55366,2176.327943,45.83842065,26.31924115,0.028117441,2.841316942,14.34692603,0.007645247,0.000952415,1.341879629,4.740426847,0.025574913,0.021112898
"MI","155",1.509830783,12.4077735,829.0963678,29.92154518,241.0865281,111339.1977,949.1487513,44.36029422,22.01954807,0.021450857,5.592106942,7.059229609,0.007243415,NA,2.121920385,2.613101754,0.02419694,0.014312992
"MI","156",3.084194356,6.722939756,1294.616412,32.80845937,272.0562991,47175.00493,1746.332997,43.22809058,27.23105485,0.031544951,4.067591911,4.110224067,0.009760875,NA,1.446978764,4.201104465,0.048889995,0.03814012
"MI","157",3.205522427,14.89736658,1592.185477,39.2183372,362.1289983,36299.03011,1047.945098,32.17392676,34.50491192,0.030212873,4.208562716,6.813903136,0.008987854,NA,0.476376598,2.927124867,0.040786599,0.031620982
"MI","158",2.794607408,8.925484172,1616.248379,47.20620842,373.1457002,62057.17502,2104.451453,75.61320399,39.05412325,NA,5.432812892,NA,0.011306229,NA,1.105020187,5.824179891,0.04035828,0.025691517
"MI","159",6.342935213,10.76369671,1486.270282,39.05852697,448.4009952,24815.4029,1483.555068,62.54769924,21.66424956,0.028910576,5.214987443,11.26268865,0.004703045,0.012116623,0.566653325,3.7664454,0.043255498,0.031825709
"MI","161",2.971831092,5.737746524,1423.864233,30.84407536,328.403433,40020.88298,1710.677306,80.39291229,27.57900888,0.036663834,4.234095971,8.123061167,0.008631803,NA,0.964937528,4.768465424,0.031755272,0.015724951
"MI","163",2.909964285,6.961969994,1104.394574,48.38623879,249.2038487,57633.44482,1350.52528,43.12769741,26.43199448,0.016153047,3.215914081,5.197928253,0.012227258,NA,1.101967322,4.396407636,0.021886647,0.042148639
"MI","164",4.594903761,23.17766478,1114.13795,30.30470568,234.1532897,47359.73961,NA,47.87729212,24.46149814,NA,3.007869955,NA,0.007761805,0.007772035,0.764981096,5.079811346,0.028980508,0.014672975
"MI","166",3.726719773,NA,1643.354278,51.81738671,255.4635168,54692.97524,1713.064035,68.72596179,24.18717726,0.027295411,2.879573757,6.015589623,0.014932174,NA,1.357095329,4.97224949,0.045282057,0.03764308
"MI","167",2.216019782,7.518168147,923.2430582,33.83134398,281.4742411,55414.34003,1480.352625,58.88825312,26.97913872,0.028704748,3.190815363,9.519174964,0.01047577,NA,0.962212595,4.387769816,0.040343868,0.016780333
"MI","168",3.970203002,6.838610423,1097.988806,36.15980056,346.2715319,61688.32903,1118.778411,43.55273062,26.6925563,0.030054114,4.624421763,5.131798262,0.006967212,NA,0.902882062,2.663578204,0.037800471,0.040744904
